task,condition,model,n_per_group,mean_self,mean_nonself,mean_diff,p_value,p_adj,sig,condition_short
hireability-ratings,neurodiversity-informed,gpt5.2,47,-0.8723404255319149,-0.1276595744680851,-0.7446808510638299,8.515949350024386e-07,2.6658624052250254e-06,***,NDI
hireability-ratings,neurodiversity-informed,llama3.3-70b,47,-1.5106382978723405,0.8723404255319149,-2.382978723404255,1.731957358482116e-15,6.235046490535618e-14,***,NDI
dating-ratings,no-context,deepseek-r1,48,-1.2083333333333333,-0.7083333333333334,-0.4999999999999999,0.0013834421266827053,0.0022135074026923282,**,NC
dating-ratings,no-context,gemini2.5-flash,48,-1.1875,-1.4166666666666667,0.22916666666666674,0.23518603296483584,0.26051375959181816,,NC
dating-ratings,no-context,gpt4o,48,-1.0416666666666667,-0.5208333333333334,-0.5208333333333334,8.15634450929904e-05,0.0001468142011673827,***,NC
dating-ratings,no-context,gpt4o-mini,48,-1.4375,-0.6875,-0.75,4.09489793151375e-07,1.47416325534495e-06,***,NC
dating-ratings,no-context,gpt5.2,48,-1.3125,-0.7916666666666666,-0.5208333333333334,0.0005958806156529292,0.0009977535890002534,***,NC
dating-ratings,no-context,llama3.3-70b,48,-1.6458333333333333,-1.0625,-0.5833333333333333,0.00359217360973592,0.0053882604146038805,**,NC
dating-ratings,autistic,deepseek-r1,48,-0.3333333333333333,-0.125,-0.20833333333333331,0.1395320716037054,0.1620372444430127,,A
dating-ratings,autistic,gemini2.5-flash,48,-0.0625,-0.25,0.1875,0.3388737519766225,0.35360739336691044,,A
dating-ratings,autistic,gpt4o,48,-0.020833333333333332,-0.08333333333333333,0.0625,0.6045998591450021,0.6218741408348594,,A
dating-ratings,autistic,gpt4o-mini,48,-0.7083333333333334,-0.041666666666666664,-0.6666666666666667,1.5448568135788587e-06,4.278065022218378e-06,***,A
dating-ratings,autistic,gpt5.2,48,-0.7708333333333334,-0.5,-0.27083333333333337,0.05190887695190564,0.06556910772872292,,A
dating-ratings,autistic,llama3.3-70b,48,-0.7291666666666666,0.08333333333333333,-0.8125,6.843015589265989e-05,0.00012633259549414133,***,A
dating-ratings,neurodivergent,deepseek-r1,48,-0.375,-0.041666666666666664,-0.3333333333333333,0.026435331570331747,0.035247108760442326,*,N
dating-ratings,neurodivergent,gemini2.5-flash,48,-0.20833333333333334,-0.4583333333333333,0.24999999999999997,0.15896825117033028,0.18167800133752032,,N
dating-ratings,neurodivergent,gpt4o,48,-0.25,-0.08333333333333333,-0.16666666666666669,0.2285990469100537,0.25717392777381043,,N
dating-ratings,neurodivergent,gpt4o-mini,48,-0.8541666666666666,-0.041666666666666664,-0.8125,3.5282960289125e-08,1.8145522434407142e-07,***,N
dating-ratings,neurodivergent,gpt5.2,48,-0.8541666666666666,-0.4375,-0.41666666666666663,0.0023802098998108594,0.0036462789954549335,**,N
